Airport_Code,Airport_Name,City,State,Year,totalclaims
CYS,Cheyenne Regional Airport - Jerry Olson Field,Cheyenne,WY,2017,1
DAB,Daytona Beach International,Daytona Beach,FL,2013,3
DAB,Daytona Beach International,Daytona Beach,FL,2014,4
DAB,Daytona Beach International,Daytona Beach,FL,2015,8
DAB,Daytona Beach International,Daytona Beach,FL,2016,3
DAB,Daytona Beach International,Daytona Beach,FL,2017,4
DAL,Dallas Love Field,Dallas,TX,2013,31
DAL,Dallas Love Field,Dallas,TX,2014,37
DAL,Dallas Love Field,Dallas,TX,2015,62
DAL,Dallas Love Field,Dallas,TX,2016,55
DAL,Dallas Love Field,Dallas,TX,2017,59
DAY,James M. Cox Dayton International,Dayton,OH,2013,8
DAY,James M. Cox Dayton International,Dayton,OH,2014,9
DAY,James M. Cox Dayton International,Dayton,OH,2015,13
DAY,James M. Cox Dayton International,Dayton,OH,2016,11
DAY,James M. Cox Dayton International,Dayton,OH,2017,6
DBQ,Dubuque Regional,Dubuque,IA,2015,1
DBQ,Dubuque Regional,Dubuque,IA,2017,3
DCA,Ronald Reagan Washington National Airport,Washington,DC,2013,80
DCA,Ronald Reagan Washington National Airport,Washington,DC,2014,81
DCA,Ronald Reagan Washington National Airport,Washington,DC,2015,92
DCA,Ronald Reagan Washington National Airport,Washington,DC,2016,94
DCA,Ronald Reagan Washington National Airport,Washington,DC,2017,100
DEN,Denver International Airport,Denver,CO,2013,202
DEN,Denver International Airport,Denver,CO,2014,167
DEN,Denver International Airport,Denver,CO,2015,161
DEN,Denver International Airport,Denver,CO,2016,158
DEN,Denver International Airport,Denver,CO,2017,163
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,TX,2013,214
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,TX,2014,195
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,TX,2015,163
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,TX,2016,218
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,TX,2017,229
DHN,Dothan Regional Airport,Dothan,AL,2013,1
DHN,Dothan Regional Airport,Dothan,AL,2015,6
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,2013,1
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,2014,1
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,2015,1
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,2016,1
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,2017,1
DLG,Dillingham,Dillingham,AK,2017,1
DLH,"Duluth, MN",Duluth,MN,2014,4
DLH,"Duluth, MN",Duluth,MN,2015,1
DRO,"Durango - La Plata County, CO",Durango,CO,2013,4
DRO,"Durango - La Plata County, CO",Durango,CO,2015,3
DRO,"Durango - La Plata County, CO",Durango,CO,2016,2
DRO,"Durango - La Plata County, CO",Durango,CO,2017,4
DSM,Des Moines International,Des Moines,IA,2013,10
DSM,Des Moines International,Des Moines,IA,2014,15
DSM,Des Moines International,Des Moines,IA,2015,9
DSM,Des Moines International,Des Moines,IA,2016,13
DSM,Des Moines International,Des Moines,IA,2017,7
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,2013,59
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,2014,74
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,2015,57
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,2016,104
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,2017,109
DVL,"Devils Lake Municipal Airport, Knoke Field",Devils Lake,ND,2016,1
EAT,Pangborn Memorial,Wenatchee,WA,2013,3
EAT,Pangborn Memorial,Wenatchee,WA,2014,2
EAT,Pangborn Memorial,Wenatchee,WA,2015,4
EAT,Pangborn Memorial,Wenatchee,WA,2016,1
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,2013,1
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,2014,1
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,2015,1
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,2016,2
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,2017,1
ECP,Northwest Florida Beaches International Airport,Panama City,FL,2013,4
ECP,Northwest Florida Beaches International Airport,Panama City,FL,2014,3
ECP,Northwest Florida Beaches International Airport,Panama City,FL,2015,2
ECP,Northwest Florida Beaches International Airport,Panama City,FL,2016,6
ECP,Northwest Florida Beaches International Airport,Panama City,FL,2017,9
EGE,Eagle County Regional,Eagle,CO,2013,3
EGE,Eagle County Regional,Eagle,CO,2014,5
EGE,Eagle County Regional,Eagle,CO,2015,4
EGE,Eagle County Regional,Eagle,CO,2017,4
EKO,Elko Regional,Elko,NV,2014,2
EKO,Elko Regional,Elko,NV,2015,2
EKO,Elko Regional,Elko,NV,2017,1
ELM,Elmira Corning International,Elmira/Corning,NY,2013,1
ELM,Elmira Corning International,Elmira/Corning,NY,2014,3
ELM,Elmira Corning International,Elmira/Corning,NY,2015,5
ELM,Elmira Corning International,Elmira/Corning,NY,2016,1
ELP,El Paso International Airport,El Paso,TX,2013,13
ELP,El Paso International Airport,El Paso,TX,2014,13
ELP,El Paso International Airport,El Paso,TX,2015,17
ELP,El Paso International Airport,El Paso,TX,2016,21
ELP,El Paso International Airport,El Paso,TX,2017,15
ENA,Kenai Municipal Airport,Kenai,AK,2013,1
ENV,Wendover Municipal Airport,Wendover,UT,2013,1
ENV,Wendover Municipal Airport,Wendover,UT,2014,3
ENV,Wendover Municipal Airport,Wendover,UT,2017,3
ERI,Erie International,Erie,PA,2013,1
ERI,Erie International,Erie,PA,2014,1
ERI,Erie International,Erie,PA,2015,2
ERI,Erie International,Erie,PA,2017,1
ESC,Delta County,Escanaba,MI,2013,3
ESC,Delta County,Escanaba,MI,2017,1
EUG,Eugene Airport/Mahlon Sweet Field,Eugene,OR,2013,15
EUG,Eugene Airport/Mahlon Sweet Field,Eugene,OR,2014,5
EUG,Eugene Airport/Mahlon Sweet Field,Eugene,OR,2015,4
EUG,Eugene Airport/Mahlon Sweet Field,Eugene,OR,2016,2
EUG,Eugene Airport/Mahlon Sweet Field,Eugene,OR,2017,4
EVV,Evansville Regional Airport,Evansville,IN,2013,1
EVV,Evansville Regional Airport,Evansville,IN,2014,1
EVV,Evansville Regional Airport,Evansville,IN,2015,1
EVV,Evansville Regional Airport,Evansville,IN,2016,2
EVV,Evansville Regional Airport,Evansville,IN,2017,2
EWN,Craven County Regional,New Bern,NC,2013,2
EWN,Craven County Regional,New Bern,NC,2014,3
EWN,Craven County Regional,New Bern,NC,2015,3
EWN,Craven County Regional,New Bern,NC,2016,1
EWN,Craven County Regional,New Bern,NC,2017,2
EWR,Newark International Airport,Newark,NJ,2013,353
EWR,Newark International Airport,Newark,NJ,2014,322
EWR,Newark International Airport,Newark,NJ,2015,286
EWR,Newark International Airport,Newark,NJ,2016,297
EWR,Newark International Airport,Newark,NJ,2017,298
EYW,Key West International Airport,Key West,FL,2013,2
EYW,Key West International Airport,Key West,FL,2014,1
EYW,Key West International Airport,Key West,FL,2015,1
EYW,Key West International Airport,Key West,FL,2016,1
EYW,Key West International Airport,Key West,FL,2017,1
F,Foreign airport,Unknown,Unknown,2013,87
F,Foreign airport,Unknown,Unknown,2014,116
F,Foreign airport,Unknown,Unknown,2015,92
F,Foreign airport,Unknown,Unknown,2016,83
F,Foreign airport,Unknown,Unknown,2017,83
FAI,Fairbanks International,Fairbanks,AK,2013,8
FAI,Fairbanks International,Fairbanks,AK,2014,4
FAI,Fairbanks International,Fairbanks,AK,2015,3
FAI,Fairbanks International,Fairbanks,AK,2016,12
FAI,Fairbanks International,Fairbanks,AK,2017,8
FAR,Hector International,Fargo,ND,2013,4
FAR,Hector International,Fargo,ND,2014,6
FAR,Hector International,Fargo,ND,2016,4
FAR,Hector International,Fargo,ND,2017,2
FAT,Fresno Yosemite International,Fresno,CA,2013,8
FAT,Fresno Yosemite International,Fresno,CA,2014,5
